PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
2675,11111268,6603869,C[C@@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@@H](C[C@@]4([C@@H]3CC[C@@]4(C(=O)CO)O)C)O,Inactive,0,,,Activator,39.8107,115.046,,Single point of activity,-4.4,4.5045,0.8396,108.032,-7.0136,3,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,92.28,-6.103,-22.04,-0.2149,-20.81,-1.269,-18.47,-4.947,-12.42,12.68,16.11,-12.13,46.28,-18.13,9.228,92.28,QC'd by SigmaAldrich
2676,11113220,1268140,CN1[C@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@H](C3=CC=CC=C3)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-33.95,-8.632,0.7229,0.4538,-3.337,-1.088,-8.914,24.28,0.4949,8.94,16.15,27.56,21.98,-12.42,-22.94,-33.95,QC'd by Timtec
2677,11113796,609483,CC1(C2=CC=CC=C2C(=O)N(C1=O)CCN3CCN(CC3)C4=CC=CC=C4OC)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.98,-7.339,-5.882,6.246,-10.66,-18.55,-5.447,-4.349,4.312,-20.47,0.2871,-2.562,13.45,0.8123,-29.18,-23.98,QC'd by Tocris
2678,11111525,6603943,C1CC1CN2CC[C@]34[C@H]5C6=C(C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O)C8=C(N6)[C@H]9[C@@]12CCN([C@H]([C@]1(C8)O)CC1=C2C(=C(C=C1)O)O9)CC1CC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.2,9.655,-15.17,-4.251,-6.816,-13.41,11.19,8.698,14.96,-5.925,-16.32,-23.96,8.02,0.1544,0.7776,-16.2,QC'd by SigmaAldrich
2679,26750736,6518396,C[C@H](CON=C(C)C)[C@@H](C(C)C)OCC1=CC=CC=C1,Inactive,0,,,Inactive,,,,,,,,,,4,,6.242,12.84,,-23.51,,7.017,,-4.296,,8.638,,-17.99,,6.242,,,QC'd by BUCMLD
2680,11112775,39912,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,39.62,16.19,26.25,-4.806,10.86,23.77,2.256,2.399,-22.35,-0.6408,28.01,31.12,-37.25,,39.62,,QC'd by Prestwick
2681,11114247,6604925,CC(C)[C@H]1[C@H]2[C@H](CCN2C(=O)/C=C\CN3CCCCC3)N(C1=O)S(=O)(=O)C,Inconclusive,20,,,Inhibitor,19.9526,68.206,,Partial curve; partial efficacy; poor fit,-4.7,2.2526,0.7446,-62.568,5.638,-2.4,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-53.62,-11.13,1.422,-3.054,33.62,4.526,19.88,-1.344,3.673,48.11,-3.432,15.31,-1.093,-4.08,-43.45,-53.62,QC'd by Tocris
2682,4237739,3232852,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC(=CC(=C4)F)F)N5CCOCC5,Inactive,0,,,Inactive,,,,,,,,,,4,,24.51,,,139.1,,21.83,,-51.26,,1.884,,-22.7,,12.32,,24.51,QC'd by Pharmacopeia
2683,17385000,5461305,CCOC(=O)N(CC[C@H]1C[C@@H]1[C@@H](C2(CC2)CC(=C)C3=CC=CC=C3)NP(=O)(C4=CC=CC=C4)C5=CC=CC=C5)S(=O)(=O)C6=CC=C(C=C6)C,Inconclusive,24,,,Inhibitor,1.2589,50.158,,Complete curve; partial efficacy,-5.9,1,0.9795,-58.0602,-7.9022,-1.2,0 1 0 0 0 0 0,-55.48,,,-5.322,,29.4,,-16.47,,-18.71,,-40.21,,-55.03,,-55.48,QC'd by UPCMLD
2684,4253259,3246280,C1CC[C@@H]([C@H](C1)O)SCCNC(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,8.656,7.891,,-17.36,,-12.94,,0.1512,,4.61,,13.84,,8.656,,,QC'd by NCI
2685,4253659,274104,C1=CC2=C(C=C1O)OC3=C(C2C4=C(C(=C(C(=C4Br)Br)Br)Br)C(=O)O)C=CC(=C3)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-94.28,1.88,,7.892,,16.96,,-20.1,,7.266,,33.91,,-94.28,,,QC'd by NCI
2686,26752495,16758946,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C=CC(OC3CO)C#CC(C)(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.45,48.29,,34.32,,8.337,,11.94,,17.07,,57.84,,-11.45,,,QC'd by BUCMLD
2687,4252770,230723,CC1=C(C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N)NC(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,Activator,3.1623,50.8525,,Single point of activity,-5.5,3.2475,0.9677,46.067,-4.7855,3,1 0 0 0 0 0 0,45.33,-22.1,,-4.649,,-4.318,,0.9693,,-10.48,,8.232,,45.33,,,QC'd by NCI
2688,11113745,6603860,CN(C)CCC1=CNC2=C1C=C(C=C2)/C=C\C(=O)NCC3=CC=C(C=C3)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.47,13.75,-2.555,-1.969,-9.819,-7.455,-15.63,-6.441,-11.2,7.109,11.54,11,-9.034,-1.117,-28.38,-39.47,QC'd by Tocris
2689,4238841,3233949,COCC(=O)N1CCC[C@]2(C1)CCN(C2)CC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.666,,,19.43,,18.88,,-4.754,,6.643,,0.4274,,-4.48,,-6.666,QC'd by Pharmacopeia
2690,11113268,5281166,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.43,-28.96,34.81,-1.163,-29,-30.2,39.51,-4.404,-4.587,40.04,-6.409,-17.94,-1.9,51.18,-2.641,-39.43,QC'd by Timtec
2691,11112273,6604225,C[C@@H]1CC(=O)C[C@@H]([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-32.24,-6.844,17.83,3.896,-13.08,15.31,47,6.845,-5.309,14.81,-2.096,3.191,-3.338,,-32.24,,QC'd by Prestwick
2692,11110961,6105572,C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)N=C(C=C3)Cl,Inactive,0,,,Activator,0.7943,28.398,,Complete curve; partial efficacy; poor fit,-6.1,4.9549,0.5039,28.8295,0.4315,1.4,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0,-3.354,-3.715,-30.79,-10.13,18.55,4.794,39.88,3.071,2.449,-14.52,34.27,36.94,47.85,27.99,26.34,-3.354,QC'd by SigmaAldrich
2693,26751291,16758679,C1C[C@H](OC1)CN2C(=O)[C@H]3CC[C@@H]\4[C@@H]([C@@H]3C2=O)[C@@H]([C@@H](C/C4=N/NC(=O)OCC5=CC=CC=C5)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.3853,-4.417,,-12.62,,-23.12,,-0.4103,,-22.78,,1.932,,0.3853,,,QC'd by BUCMLD
2694,4238298,3233409,C1CN(CCC12CCN(CC2)C(=O)C3=NC=CN=C3)C4=CC=CC=N4,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.21,,,5.904,,-35.13,,6.237,,41.4,,-4.987,,-13.26,,-16.21,QC'd by Pharmacopeia
2695,4254219,5384438,CC1=CC2=C(C=C1)N=C(C=C2C)N/N=C\C3=CC=CC(=N3)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.26,-4.828,,29.35,,37.86,,27.34,,22.48,,4.099,,-12.26,,,QC'd by NCI
2696,4239409,3234516,C1CN(CCC12CCN(CC2)C(=O)C3=CC=NC=C3)C4=CC=CC(=C4)C5=CC=CC=C5,Inconclusive,20,,,Inhibitor,25.1189,81.1395,,Single point of activity,-4.6,2.2481,0.8641,-76.323,4.8165,-3,0 0 0 0 0 0 0,-65.38,,,-3.85,,-11.63,,15.47,,18.29,,4.51,,-6.743,,-65.38,QC'd by Pharmacopeia
2697,11111516,4551,C1C2=NOC(=O)N2C3=C(O1)C=CC(=C3)Br,Inactive,0,,,Inactive,,,,,,,,,,4,,5.022,-15.33,-29.76,-5.9,41.23,-6.109,43.6,-27.33,-27.12,2.258,7.808,-11.23,20.67,-15.47,4.597,5.022,QC'd by SigmaAldrich
2698,4239960,3235067,COC1=CC=CC=C1CN2CCCC3(C2)CCN(CC3)C(=O)C4=NC=CN=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.36,,,-1.225,,13.17,,-3.497,,15.55,,2.474,,38.5,,-12.36,QC'd by Pharmacopeia
2699,11111771,6603998,CN1CCC2=C1C=CC(=C2)NC(=O)NC3=CN=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.8,8.631,1.202,15.26,-11.11,43.19,5.676,-31.58,-8.151,-28.18,-23.44,-26.9,-3.544,26.22,-12.05,-39.8,QC'd by SigmaAldrich
2700,11112776,11972599,CCC[C@@H]1O[C@@H]2C[C@@H]3[C@H]4CCC5=CC(=O)C=C[C@]5([C@H]4[C@@H](C[C@]3([C@]2(O1)C(=O)CO)C)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-18.77,-2.921,-7.599,13.07,-17.76,6.825,12.97,-1.618,-10.51,7.073,-21.17,-6.023,-19.02,,-18.77,,QC'd by Prestwick
2701,26750735,6518395,CC1=CC(=C(C(=C1)C)C2=NOC(=C2)[C@H](C)ON=C(C)C)C,Inconclusive,20,,,Inhibitor,0.631,85.2303,,Partial curve; partial efficacy; poor fit,-6.2,1.6604,0.7634,-58.8492,26.3811,-2.4,1 0 0 0 0 0 0,-65.88,-22,,-8.834,,43.86,,46.38,,-14.02,,-38.81,,-65.88,,,QC'd by BUCMLD
2702,4237738,3232851,C1CNCCC12CCN(CC2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,0.2613,,,-5.723,,45.49,,-4.511,,8.544,,-3.611,,-1.898,,0.2613,QC'd by Pharmacopeia
2703,4253260,3246281,C1=CC(=CC=C1[C@@H](C(=O)O)O)F,Inactive,0,,,Inactive,,,,,,,,,,4,,10.08,11.26,,16.04,,19.22,,-10.5,,-6.382,,-1.491,,10.08,,,QC'd by NCI
2704,4253660,3246423,C1CC[C@@H]([C@H](C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4O)O)O)C(=O)O,Inconclusive,23,,,Inhibitor,2.5119,53.7229,,Partial curve; partial efficacy,-5.6,1,0.8176,-58.8516,-5.1287,-2.2,0 1 0 0 0 0 0,-51.18,-17.67,,31.52,,-11.61,,0.1073,,-18.43,,-28.82,,-51.18,,,QC'd by NCI
2705,11114248,6604926,CC1=NC2=C(O1)C=C(C=C2)NC(=O)NC3=C4C(=NC=C3)C=CC=N4,Inconclusive,20,,,Inhibitor,10,39.594,,Partial curve; partial efficacy; poor fit,-5,4.9549,0.5517,-37.658,1.936,-2.4,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0,-22.37,40.06,6.539,1.848,31,-12.32,-10.96,-10.96,-5.793,19.61,74.02,-1.454,-2.626,-20.97,-54.64,-22.37,QC'd by Tocris
2706,4239408,3234515,CC1=NC2=CN=C(N=C2N(C1=O)CCC3=CC=CC=C3)NC4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.37,,,-12.15,,7.935,,-4.916,,21.58,,7.746,,28.92,,-11.37,QC'd by Pharmacopeia
2707,11110960,21907,CN1[C@H](CCC1=O)C2=CN=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,26.23,17.97,5.104,7.881,-11.28,21.52,-16.61,-10.02,13.35,19.52,-30.6,15.99,9.192,-0.9233,14.56,26.23,QC'd by SigmaAldrich
2708,26752494,16758945,C1CCC(C1)C2=CC=C(C=C2)OC3C=CC(OC3CO)C4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.49,-16.37,,-6.628,,8.187,,0.0542,,4.36,,-6.179,,-12.49,,,QC'd by BUCMLD
2709,17385001,5461760,CC(C1(CC1)CC(=C)C2=CC=CC=C2)NP(=O)(C3=CC=CC=C3)C4=CC=CC=C4,Active,43,,,Inhibitor,10,162.089,,Partial curve; high efficacy,-5,0.6,0.8808,-134.931,27.1583,-2.1,0 0 0 0 0 0 0,-99.51,,,7.445,,55.68,,12.48,,-11.38,,-13.52,,-53.46,,-99.51,QC'd by UPCMLD
2710,4252771,3246099,CC1=CC=C(C=C1)S(=O)(=O)O.CN(C)C[C@H](C1=CC=C(C2=CC=CC=C21)Cl)O,Inactive,0,,,Activator,2.5119,58.2839,,Partial curve; partial efficacy; poor fit,-5.6,0.7,0.7664,63.3082,5.0243,2.4,0 1 0 0 0 0 0,54.67,-0.3913,,31.92,,17.09,,2.657,,28.63,,21.71,,54.67,,,QC'd by NCI
2711,11113746,132837,CC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)OCC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-35.75,4.867,-6.633,0.087,-12.57,1.156,-10.6,192.8,0.6696,24.07,2.614,98.68,-33.08,7.91,-12.19,-35.75,QC'd by Tocris
2712,11113269,5420804,C/C/1=C/CC[C@@]2([C@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,Inactive,0,,,Inactive,,,,,,,,,,4,,3.734,-4.308,-9.884,-7.219,16.75,9.19,56.24,-14.47,-12.05,9.99,-16.22,-11.77,-28.58,-2.255,31.1,3.734,QC'd by Timtec
2713,26751290,16758678,COC1=CC=C(C=C1)COC(=O)N/N=C\2/C[C@H]([C@H]([C@H]3[C@H]2CC[C@H]4[C@H]3C(=O)N(C4=O)C[C@@H]5CCCO5)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,44.04,11.29,,16.08,,2.886,,21.85,,9.9,,2.295,,44.04,,,QC'd by BUCMLD
2714,4238297,3233408,C1CN(CCN1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)Cl)CCC#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-33.34,,,-10.86,,10.91,,15.38,,-12.53,,2.578,,-0.8355,,-33.34,QC'd by Pharmacopeia
2715,4254220,3246644,CCOC(=O)C1=C(NC(=O)N[C@@H]1C2=COC3=CC(=CC(=C3C2=O)C)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.16,-19.79,,-16.09,,17.47,,6.931,,3.443,,-14.66,,-27.16,,,QC'd by NCI
2716,11112274,6604226,C[C@H]1CC[C@@]2([C@H]([C@@H]3[C@H](O2)C[C@@H]4[C@@]3(CC[C@@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.702,-17.74,32.95,-9.961,-5.305,-0.3237,-5.443,-2.599,-17.62,3.858,27.8,6.654,45.06,,-5.702,,QC'd by Prestwick
2717,4239959,3235066,CN(C)C1=NC(=NC=C1)C2=CC=CC=C2C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.4,,,48.33,,-7.363,,-27.36,,5.421,,4.767,,-5.118,,-34.4,QC'd by Pharmacopeia
2718,11111772,3277600,CC1=NSC(=C1)NC(=O)NC2=CC3=C(C=C2)N(C=C3)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.18,-12.19,-0.0348,10.21,21.03,29.03,8.844,3.398,0.7993,17.85,6.818,3.68,17.93,-3.759,36.24,-28.18,QC'd by SigmaAldrich
2719,11111515,9604974,C=CCN1CC[C@]23[C@H]4/C(=N/N=C\5/CC[C@@]6([C@@H]7CC8=C9[C@@]6([C@H]5OC9=C(C=C8)O)CCN7CC=C)O)/CC[C@]2([C@H]1CC1=C3C(=C(C=C1)O)O4)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.89,15.86,-19.63,6.233,4.428,3.545,-4.42,4.226,19.97,6.347,6.286,12,24.64,-12.2,-3.236,-22.89,QC'd by SigmaAldrich
2720,4238840,3233948,CS(=O)(=O)N1CCC2(CC1)CN(C2)C3=CC=C(C=C3)C4=CC=CC=C4,Inactive,0,,,Activator,39.8107,225.817,,Single point of activity,-4.4,4.9549,0.9783,187.443,-38.3743,3,0 0 0 0 0 0 0,157.2,,,-33.11,,-51.07,,-18.33,,-42.01,,-38.68,,-48.89,,157.2,QC'd by Pharmacopeia
2721,17384998,5459431,COC1=CC=C(C=C1)NC(=O)CCCCC#CC2=CC=CC=C2,Active,64,,,Inhibitor,3.1623,75.7632,,Complete curve; partial efficacy,-5.5,2.1876,0.997,-76.1836,-0.4204,-1.2,0 1 0 0 0 0 0,-77.17,,,-2.086,,49.16,,2.034,,-3.893,,-23.96,,-70.8,,-77.17,QC'd by UPCMLD
2722,4239407,3234514,C1CN(CCC12CN(C2)C3=CC=C(C=C3)C4=CC=CC=C4)C(=O)C5=CC(=CC=C5)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.519,,,0.1866,,31.74,,4.733,,-0.551,,3.417,,7.974,,-6.519,QC'd by Pharmacopeia
2723,11114245,6604923,C1C[C@@H]([C@H](C1)O)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.18,-28.36,-0.6627,6.417,-7.051,-10.11,-1.573,-15.19,11.99,2.546,12.12,12.48,23.4,18.1,-1.864,-26.18,QC'd by Tocris
2724,4253661,54677782,C1=CC(=C(C2=C1C(=C3C=CC(=O)C(=C3O2)O)/C=C\C(=O)O)O)O,Inconclusive,20,,,Inhibitor,3.1623,104.961,,Single point of activity,-5.5,3.5722,0.9751,-75.9588,29.0025,-3,1 0 0 0 0 0 0,-74.9,-14.78,,29.29,,41.11,,23.67,,22.09,,3.585,,-74.9,,,QC'd by NCI
2725,26750734,6518394,C[C@@H](C1=CN(N=N1)[C@@H](CC2=CC=CC=C2)CO)ON=C(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.55,-4.269,,2.885,,0.2996,,6.215,,41.88,,-16.72,,-23.55,,,QC'd by BUCMLD
2726,4237741,3232854,C1C[C@@H](OC1)CN2C3=NC(=NC=C3N=C(C2=O)C4=CC=CC(=C4)C#N)NC5=CC=CC=C5,Inactive,0,,,Inactive,,,,,,,,,,4,,5.148,,,19.38,,18.25,,-17.64,,1.493,,11.27,,33.1,,5.148,QC'd by Pharmacopeia
2727,11112777,6604409,CC1=NC=N[C@@H]1CSCCNC(=NC)NC#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.82,27.56,-20.55,10.63,-62.86,21.73,-0.8662,-4.252,-4.315,9.493,-1.858,17.12,-2.577,,-24.82,,QC'd by Prestwick
2728,26752493,16758944,C[C@@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OC5C=CC(OC5CO)C6=CC=CC=C6,Inactive,0,,,Inactive,,,,,,,,,,4,,24.46,0.9272,,10.98,,-0.9169,,-11.06,,4.026,,-8.219,,24.46,,,QC'd by BUCMLD
2729,11112271,6604224,CC[N@@+]1(CCC[C@H](C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.542,-9.828,-23.4,-1.955,-0.1423,13.81,15.05,-5.352,12.79,-13.24,1.362,11.91,-15.39,,-6.542,,QC'd by Prestwick
2730,11110959,1730,C1=CC(=CC=C1C(=O)O)[Hg]Cl,Active,85,,,Inhibitor,2.5119,111.99,,Complete curve; high efficacy,-5.6,3.99,0.9562,-98.346,13.644,-1.1,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-99.01,-32.14,11.25,26.62,14.28,-40.02,1.693,-1.37,-0.5317,37.43,11.95,-20.89,-98.88,-98.57,-95.96,-99.01,QC'd by SigmaAldrich
2731,4254217,332609,CN(C)CC1=NSC(=N1)N(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.49,3.345,,-9.201,,26.49,,1.469,,-16.69,,44.71,,-11.49,,,QC'd by NCI
2732,11113266,135484653,C1C2=CC(=C(C=C2C3=C4C=CC(=O)C(=C4OC[C@@]31O)O)O)O,Active,84,,,Inhibitor,6.3096,130.56,,Complete curve; high efficacy,-5.2,1.21,0.8961,-117.403,13.1566,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-108.8,19.03,11.01,25.27,26.23,12.17,15.04,-15.04,-9.786,29.69,-13.69,5.359,-58.13,-67.52,-92.17,-108.8,QC'd by Timtec
2733,11113747,6604770,C1CN(CCC1[C@H](C2=CC=CC=C2)O)CCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-43.72,9.093,4.786,26.1,11.88,5.053,13.32,9.31,12.46,-3.248,-3.469,1.25,11.52,16.04,-24.82,-43.72,QC'd by Tocris
2734,4239962,3235069,CC1=CN=C(C=N1)CNC2=NC(=NC=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.154,,,-10.75,,8.666,,-1.575,,19.65,,14.18,,32.6,,-3.154,QC'd by Pharmacopeia
2735,4238843,3233951,C1C[C@@]2(CCN(C2)C3=CC=CC=C3)CN(C1)S(=O)(=O)C4=CC=CC=C4,Active,89,,,Inhibitor,0.3162,83.8795,,Complete curve; high efficacy,-6.5,1.331,0.9036,-90.8425,-6.963,-1.1,0 0 0 0 0 0 0,-91.52,,,8.11,,-33.26,,-9.27,,-60.51,,-85.56,,-89.63,,-91.52,QC'd by Pharmacopeia
2736,4252767,81371,C(CSC(=N)N)SC(=N)N,Inactive,0,,,Inactive,,,,,,,,,,4,,2.373,-24.73,,23.7,,-6.197,,-8.869,,-9.198,,3.021,,2.373,,,QC'd by NCI
2737,26751293,16758681,C[C@@H](C1=CC=CC=C1)N2C(=O)[C@H]3CC[C@@H]\4[C@@H]([C@@H]3C2=O)[C@@H]([C@@H](C/C4=N/OCC5=CC=CC=C5)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.25,6.884,,40.35,,-4.767,,-8.176,,-17.27,,-30.81,,-24.25,,,QC'd by BUCMLD
2738,4238296,3233407,C1CC2(CCNCC2)CN(C1)CC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.05,,,9.873,,46.6,,-0.8956,,-22.02,,11.54,,25.03,,-12.05,QC'd by Pharmacopeia
2739,11111518,4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,1.611,-9.131,-33.38,3.01,-36.35,6.088,-24.93,11.16,-12.77,12.33,57.59,13.29,4.839,10.52,-5.976,1.611,QC'd by SigmaAldrich
2740,11111773,854067,CNC[C@@H](C1=CC=C(C=C1)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,2.991,-21.85,-7.23,10.6,13.41,-0.9079,4.152,3.387,13.01,-2.443,-3.371,2.628,-11.97,-11.64,9.738,2.991,QC'd by SigmaAldrich
2741,11114246,6604924,C1CCN(CC1)[C@H]2[C@H](C[C@@H]([C@H]2CC/C=C\CCC(=O)O)OCC3=CC=C(C=C3)C4=CC=CC=C4)O,Inactive,0,,,Inactive,,,,,,,,,,4,,12.89,-9.361,18.1,-11.57,15.97,-41.17,-17.81,-19.27,-16.9,-8.705,-15.49,24.62,8.919,3.077,-13.98,12.89,QC'd by Tocris
2742,4239406,3234513,CN(C)C1=CC=C(C=C1)C2=CN=CN=C2NCC3=CC=CS3,Active,88,,,Inhibitor,0.631,95.5355,,Complete curve; high efficacy,-6.2,1.5095,0.9911,-93.9888,1.5466,-1.1,0 0 0 0 0 0 0,-94.22,,,-2.336,,8.889,,-8.423,,-32.2,,-83.42,,-92.59,,-94.22,QC'd by Pharmacopeia
2743,17384999,245881,C1=CC=C2C(=C1)C=C3C(C4=CC=CC=C4C3=N2)O,Active,42,,,Inhibitor,12.5893,99.377,,Partial curve; high efficacy,-4.9,3.1925,0.9208,-95.2166,4.1605,-2.1,0 1 0 0 0 0 0,-92.72,,,-1.368,,50.88,,-7.414,,0.7456,,26.15,,-42.32,,-92.72,QC'd by UPCMLD
2744,4237740,3232853,C1CC2(CCNCC2)CN(C1)C(=O)NC3=CC(=CC=C3)F,Inactive,0,,,Inactive,,,,,,,,,,4,,9.791,,,-25.92,,-2.754,,-13.98,,3.423,,12.44,,-23.72,,9.791,QC'd by Pharmacopeia
2745,26750733,6518394,C[C@@H](C1=CN(N=N1)[C@@H](CC2=CC=CC=C2)CO)ON=C(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.35,-6.962,,13.04,,-2.851,,-5.764,,-20.25,,-10.85,,-12.35,,,QC'd by BUCMLD
2746,4253262,5351877,C1CC1/C(=N/N=C(N)N)/C2=CC=C(C=C2)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.09,-6.056,,-12.79,,27.02,,2.816,,18.45,,-5.219,,-27.09,,,QC'd by NCI
2747,4253662,3246424,C[C@H]1[C@@H]2C=C[C@H]1[C@H]([C@@H]2C3=C4C=CC(=O)C(=C4OC5=C3C=CC(=C5O)O)O)C(=O)O,Inconclusive,20,,,Inhibitor,3.9811,53.002,,Single point of activity,-5.4,4.095,0.8242,-61.6578,-8.6558,-3,0 0 0 0 0 0 0,-60.84,-10.61,,-22.64,,-2.338,,-15.38,,-18.25,,-13.42,,-60.84,,,QC'd by NCI
2748,26752492,16758943,C1=CC=C(C=C1)C2C=CC(C(O2)CO)OC3=CC(=CC(=C3)Cl)Cl,Inconclusive,25,,,Inhibitor,1.2589,84.903,,Partial curve; partial efficacy,-5.9,0.6,0.9965,-74.526,10.377,-2.2,1 0 0 0 0 0 0,-57.31,-18.06,,10.23,,2.254,,-4.298,,-20.29,,-38.28,,-57.31,,,QC'd by BUCMLD
2749,11112778,3000506,C1CCN[C@H](C1)[C@@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,Inactive,0,,,Inactive,,,,,,,,,,4,,12.52,-5.961,-24.67,-4.715,-20.9,27.79,-28.22,1.706,1.256,-14.35,-2.371,6.836,-28.08,,12.52,,QC'd by Prestwick
2750,4252769,410029,CC1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=NC=N2)(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,8.102,-5.092,,13.19,,-20.06,,-9.161,,-5.948,,7.882,,8.102,,,QC'd by NCI
2751,11112272,1548995,CC[C@]1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,Inactive,0,,,Inactive,,,,,,,,,,4,,16.81,10.16,2.006,-7.13,-15.34,-0.5334,-18.88,-11.43,3.99,-11.64,-12.94,-0.8243,1.588,,16.81,,QC'd by Prestwick
