PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007317399 uM,Activity at 0.00164 uM,Activity at 0.00366 uM,Activity at 0.00370 uM,Activity at 0.00818 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.091 uM,Activity at 0.092 uM,Activity at 0.204 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.111 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
1482,26748728,2799,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl,Active,40,,,Inhibitor,25.1189,91.0972,,Partial curve; partial efficacy,-4.6,2.1211,0.9805,-92.8601,-1.7628,-2.2,0 0 0 0 0 0 0,-79.2477,,,-7.994,,,3.3805,,0.362,,,-4.9791,,2.0026,,-17.5263,,-79.2477,QC'd by Microsource
1483,11110778,564,C(CCC(=O)O)CCN,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.8675,,,-8.1258,,,,,,,,,,-7.6061,,0.5405,,-5.8675,QC'd by SigmaAldrich
1484,4253611,272245,C1CN(CCN1CC2=NC=CN2)CC3=NC=CN3,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.1532,-8.6543,,-9.4484,,,-9.694,,-6.7251,,,-8.0329,,-10.3238,,-22.1532,,,QC'd by NCI
1485,4237820,3232933,CC1=CN=C(C=N1)CNC2=NC=NC=C2C3=C(ON=C3C)C,Active,42,,,Inhibitor,12.5893,103.196,,Partial curve; partial efficacy,-4.9,0.8,0.9936,-98.3139,4.8818,-2.2,0 0 0 0 0 0 0,-75.0646,,,5.4923,,,0.4273,,7.2995,,,-2.8985,,-16.4691,,-44.4996,,-75.0646,QC'd by Pharmacopeia
1486,26749566,6710684,CCCCCC(=O)CC1=C(C(=CC(=C1)O)O)C(=O)OC2=CC(=C(C(=C2)OC)C(=O)O)CC(=O)CCCCC,Active,41,,,Inhibitor,15.8489,56.5968,,Partial curve; partial efficacy,-4.8,1.7885,0.9894,-66.3095,-9.7127,-2.2,0 0 0 0 0 0 0,-61.9812,,,-9.0757,,,-8.7724,,-8.1951,,,-10.5474,,-15.7293,,-28.7958,,-61.9812,QC'd by Microsource
1487,4253475,3246360,CC(C)[C@@H](C(=O)O)N=CC1=CC=CC=C1O,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.5009,-0.9192,,-13.5703,,,-8.2482,,-4.4067,,,-4.6848,,-5.7883,,-5.5009,,,QC'd by NCI
1488,4238824,3233932,CC1=NC2=CN=C(N=C2N(C1=O)CCOC)NC3=CC(=CC=C3)OC,Active,41,,,Inhibitor,15.8489,84.1195,,Partial curve; partial efficacy,-4.8,1.3443,0.9863,-89.2263,-5.1068,-2.2,0 0 0 0 0 0 0,-77.5544,,,-1.9867,,,-9.6478,,-0.774,,,-4.3755,,-14.3095,,-37.9878,,-77.5544,QC'd by Pharmacopeia
1489,4239811,3234918,COC(=O)N1CCC2(CCCN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)CC1,Inconclusive,21,,,Inhibitor,10,53.4311,,Partial curve; partial efficacy,-5,1.8265,0.9891,-58.3944,-4.9633,-2.2,0 0 0 0 0 0 0,-55.7453,,,-7.2481,,,-6.4912,,-4.8795,,,-0.8079,,-7.9271,,-35.8406,,-55.7453,QC'd by Pharmacopeia
1490,17389229,237332,C1=C(OC(=C1)C=O)CO,Inactive,0,,,Inactive,,,,,,,,,,4,,1.9785,1.3797,-1.8164,2.2574,,7.5967,3.5704,3.3071,6.2885,,4.3955,5.1096,4.2125,-0.6369,8.6591,1.7694,4.0464,1.9785,QC'd by NIEHS/NTP
1491,26752643,9549917,CC1=C(C(=O)C=CN1CC2=CC=CC=C2)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.3255,-4.9271,,4.1353,,,-3.537,,-4.2953,,,5.2794,,8.7433,,-6.3255,,,QC'd by BUCMLD
1492,26747593,8667,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.229,,,-26.4341,,,-12.4063,,-11.7705,,,-10.1784,,-4.6811,,29.8381,,-16.229,QC'd by Microsource
1493,26750736,6518396,C[C@H](CON=C(C)C)[C@@H](C(C)C)OCC1=CC=CC=C1,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.2345,0.6509,,-22.029,,,-16.8245,,-14.7533,,,-17.0011,,-7.4596,,-0.2345,,,QC'd by BUCMLD
1494,4237739,3232852,C1CC1N2C3=NC(=NC=C3N=C(C2=O)C4=CC(=CC(=C4)F)F)N5CCOCC5,Inactive,0,,,Inactive,,,,,,,,,,4,,5.0602,,,-2.1545,,,-8.6828,,-29.6181,,,-17.7543,,-5.5074,,-1.5034,,5.0602,QC'd by Pharmacopeia
1495,11114247,6604925,CC(C)[C@H]1[C@H]2[C@H](CCN2C(=O)/C=C\CN3CCCCC3)N(C1=O)S(=O)(=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.3835,2.1979,-8.2307,-7.7853,,-4.444,-16.4361,4.5256,5.199,,1.9883,7.2348,8.2047,7.5945,5.6435,-0.4968,-16.3705,-17.3835,QC'd by Tocris
1496,4253659,274104,C1=CC2=C(C=C1O)OC3=C(C2C4=C(C(=C(C(=C4Br)Br)Br)Br)C(=O)O)C=CC(=C3)O,Inconclusive,22,,,Inhibitor,3.9811,22.1122,,Partial curve; partial efficacy,-5.4,1.6436,0.982,-39.1496,-17.0374,-2.2,0 0 0 0 0 0 0,-35.958,-16.6581,,-17.8519,,,-15.4478,,-18.4625,,,-17.8819,,-22.9933,,-35.958,,,QC'd by NCI
1497,4253259,3246280,C1CC[C@@H]([C@H](C1)O)SCCNC(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.7449,-18.0481,,-1.5538,,,-7.2704,,-7.2465,,,-8.4452,,-13.1363,,-9.7449,,,QC'd by NCI
1498,17385000,5461305,CCOC(=O)N(CC[C@H]1C[C@@H]1[C@@H](C2(CC2)CC(=C)C3=CC=CC=C3)NP(=O)(C4=CC=CC=C4)C5=CC=CC=C5)S(=O)(=O)C6=CC=C(C=C6)C,Active,86,,,Inhibitor,1.5849,91.8354,,Complete curve; high efficacy,-5.8,2.4064,0.9884,-97.8112,-5.9758,-1.1,1 0 0 0 0 0 0,-97.7291,,,-37.3227,,,-12.9424,,2.0288,,,-10.4023,,-73.1835,,-95.3569,,-97.7291,QC'd by UPCMLD
1499,26748482,3083802,CCN(CC)CCNC(=O)COC1=CC=C(C=C1)OC.Cl,Inactive,0,,,Activator,1.2589,23,,Complete curve; partial efficacy; poor fit,-5.9,4.9549,0.7105,27,4,1.4,1 0 0 0 0 0 0,16.4629,,,-23.6418,,,3.5805,,11.388,,,0.5535,,26.3167,,36.9338,,16.4629,QC'd by Microsource
1500,26752495,16758946,CC1=CC(=O)OC2=C1C=CC(=C2)OC3C=CC(OC3CO)C#CC(C)(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.038,-11.0724,,-12.1443,,,-12.5074,,-9.6353,,,-8.5143,,-3.9494,,-2.038,,,QC'd by BUCMLD
1501,4238841,3233949,COCC(=O)N1CCC[C@]2(C1)CCN(C2)CC3=CC=CC=C3,Inconclusive,20,,,Inhibitor,25.1189,42.5897,,Partial curve; partial efficacy,-4.6,1.4163,0.9675,-42.5897,0,-2.2,1 0 0 0 0 0 0,-32.5748,,,12.4643,,,-3.7338,,3.7468,,,-0.1563,,-1.6201,,-10.6424,,-32.5748,QC'd by Pharmacopeia
1502,11110961,6105572,C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)N=C(C=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.2256,,,-12.2116,,,-3.6829,,-2.4842,,,-4.2014,,-1.1826,,-3.0438,,-5.2256,QC'd by SigmaAldrich
1503,11112273,6604225,C[C@@H]1CC(=O)C[C@@H]([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Inconclusive,21,,,Inhibitor,12.5893,48.819,,Partial curve; partial efficacy,-4.9,1.5579,0.8508,-51.2569,-2.438,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-39.8491,-6.7511,-6.9051,-0.4019,,-4.6058,0.948,-8.5772,0.7974,,-5.3081,9.5305,-4.6653,-6.3761,-13.5282,-23.1437,-39.8491,,QC'd by Prestwick
1504,17388980,8119,C1CCCNCC1,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.054,1.7797,-9.4616,-5.8174,,-7.0189,-13.061,-6.6014,-13.0893,,-13.648,-18.3214,-15.5836,-16.7856,-9.8872,-23.4858,-20.792,-20.054,QC'd by NIEHS/NTP
1505,26749749,16758085,CC(=O)OC1CC2[C@](CCC(=O)C2(C)C)(C3[C@@]1(C45C(O4)C(=O)OC([C@@]5(CC3)C)C(=O)OC)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.0052,,,-29.1756,,,-23.365,,-17.5576,,,-12.6825,,0.6812,,22.4317,,-11.0052,QC'd by Microsource
1506,4239960,3235067,COC1=CC=CC=C1CN2CCCC3(C2)CCN(CC3)C(=O)C4=NC=CN=C4,Active,42,,,Inhibitor,15.8489,95.7788,,Partial curve; high efficacy,-4.8,1,0.9775,-100.186,-4.4071,-2.1,0 0 0 0 0 0 0,-83.4883,,,0.5829,,,-2.9013,,-6.1682,,,-10.051,,-21.2357,,-38.0617,,-83.4883,QC'd by Pharmacopeia
1507,26750735,6518395,CC1=CC(=C(C(=C1)C)C2=NOC(=C2)[C@H](C)ON=C(C)C)C,Inconclusive,22,,,Inhibitor,3.1623,37.6882,,Partial curve; partial efficacy,-5.5,4.9549,0.9945,-45.0491,-7.3609,-2.2,0 0 0 0 0 0 0,-45.0409,-6.9979,,-8.4223,,,-6.6873,,-6.5508,,,-9.3819,,-13.8445,,-45.0409,,,QC'd by BUCMLD
1508,4237738,3232851,C1CNCCC12CCN(CC2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inconclusive,20,,,Inhibitor,31.6228,40.9383,,Single point of activity,-4.5,1.9887,0.9389,-42.4383,-1.5,-3,0 0 0 0 0 0 0,-32.8652,,,4.0404,,,-1.2579,,-3.3656,,,-5.7122,,-2.4435,,-6.5958,,-32.8652,QC'd by Pharmacopeia
1509,4253660,3246423,C1CC[C@@H]([C@H](C1)C2=C3C=CC(=O)C(=C3OC4=C2C=CC(=C4O)O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.2737,-5.5558,,-3.5809,,,2.5147,,0.8228,,,0.0613,,-0.6536,,-5.2737,,,QC'd by NCI
1510,4253260,3246281,C1=CC(=CC=C1[C@@H](C(=O)O)O)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.4732,4.8123,,-2.6891,,,1.1879,,-6.1937,,,-9.4353,,-3.4041,,-5.4732,,,QC'd by NCI
1511,11114248,6604926,CC1=NC2=C(O1)C=C(C=C2)NC(=O)NC3=C4C(=NC=C3)C=CC=N4,Inconclusive,22,,,Inhibitor,10,64.1435,,Partial curve; partial efficacy,-5,1.2221,0.9766,-64.3141,-0.1706,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-59.0117,2.6938,-5.215,0.5075,,-2.9961,-4.2108,-1.0264,1.9625,,2.5353,0.6828,-3.7913,-6.3217,-24.9859,-33.276,-46.5724,-59.0117,QC'd by Tocris
1512,11110960,21907,CN1[C@H](CCC1=O)C2=CN=CC=C2,Inconclusive,21,,,Inhibitor,19.9526,52.6012,,Partial curve; partial efficacy,-4.7,1.4641,0.9131,-62.2016,-9.6003,-2.2,0 0 0 0 0 0 0,-56.2181,,,,-16.347,,-3.6168,,,-6.209,,-10.588,,-17.1152,,-20.3681,,-56.2181,QC'd by SigmaAldrich
1513,26752494,16758945,C1CCC(C1)C2=CC=C(C=C2)OC3C=CC(OC3CO)C4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.3322,-9.9543,,-9.7877,,,-12.4889,,-11.8478,,,-11.1782,,-8.017,,-14.3322,,,QC'd by BUCMLD
1514,17385001,5461760,CC(C1(CC1)CC(=C)C2=CC=CC=C2)NP(=O)(C3=CC=CC=C3)C4=CC=CC=C4,Active,63,,,Inhibitor,3.9811,72.9482,,Complete curve; partial efficacy,-5.4,1.4163,0.9948,-74.8563,-1.9081,-1.2,0 0 0 0 0 0 0,-73.5536,,,-3.4203,,,0.527,,-4.5992,,,-1.6998,,-26.2952,,-60.3013,,-73.5536,QC'd by UPCMLD
1515,17388981,3562,C(C(F)(F)F)(Cl)Br,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.9858,-9.7949,8.5102,-8.7855,,-3.6925,-5.1852,-5.658,-2.1596,,-9.1723,-8.4127,-6.0962,-8.8866,1.4881,-8.9229,-3.992,-3.9858,QC'd by NIEHS/NTP
1516,11112274,6604226,C[C@H]1CC[C@@]2([C@H]([C@@H]3[C@H](O2)C[C@@H]4[C@@]3(CC[C@@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1,Inactive,0,,,Inactive,,,,,,,,,,4,,5.488,-1.6771,1.8874,-3.775,,-3.7364,0.2533,3.6462,0.8707,,2.1464,-3.426,-1.7039,0.0147,3.9635,2.3525,5.488,,QC'd by Prestwick
1517,26753728,5280953,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,Active,41,,,Inhibitor,15.8489,70.4643,,Partial curve; partial efficacy,-4.8,1.21,0.9414,-84.0173,-13.553,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-74.9733,-5.9597,-20.2771,-10.1411,,-17.0616,-17.1441,-14.023,-7.0963,,-10.7274,-22.2067,-18.8816,-20.0311,-26.0577,-43.2288,-53.9724,-74.9733,QC'd by Timtec
1518,4239959,3235066,CN(C)C1=NC(=NC=C1)C2=CC=CC=C2C(F)(F)F,Inactive,0,,,Activator,6.3096,71.9179,,Partial curve; partial efficacy,-5.2,1.2221,0.9914,52.3453,-19.5726,2.2,0 0 0 0 0 0 0,47.9123,,,-19.946,,,-22.5811,,-17.5963,,,-12.3064,,-6.1057,,29.0601,,47.9123,QC'd by Pharmacopeia
1519,26749748,189985,COC1=C(C(=O)C(=CC1=O)C(C=C)C2=CC=CC=C2)OC,Inconclusive,21,,,Inhibitor,15.8489,54.9047,,Partial curve; partial efficacy,-4.8,2.0479,0.9939,-55.8921,-0.9874,-2.2,0 0 0 0 0 0 0,-53.436,,,1.4382,,,-1.7953,,-1.7915,,,-0.1128,,-4.1937,,-19.4632,,-53.436,QC'd by Microsource
1520,26747477,64927,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.6212,,,-20.1523,,,-8.8036,,-1.8269,,,-7.6787,,-0.4024,,-2.3372,,0.6212,QC'd by Microsource
1521,4238840,3233948,CS(=O)(=O)N1CCC2(CC1)CN(C2)C3=CC=C(C=C3)C4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.4589,,,-49.7431,,,-37.6588,,-18.7069,,,-23.1577,,-17.1261,,-7.3875,,-13.4589,QC'd by Pharmacopeia
1522,17384998,5459431,COC1=CC=C(C=C1)NC(=O)CCCCC#CC2=CC=CC=C2,Active,67,,,Inhibitor,0.3162,63.8731,,Complete curve; partial efficacy,-6.5,1.2221,0.9893,-65.4413,-1.5682,-1.2,0 0 0 0 0 0 0,-68.0046,,,-0.2434,,,-7.4387,,-9.3334,,,-41.6972,,-56.4466,,-64.731,,-68.0046,QC'd by UPCMLD
1523,11114245,6604923,C1C[C@@H]([C@H](C1)O)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.1399,-6.6548,-7.0307,-9.8099,,-8.2068,-12.6324,-1.6181,-4.1447,,-11.1522,-7.3882,-14.4819,-9.8059,-8.6119,-14.0647,-7.6147,-10.1399,QC'd by Tocris
1524,4253661,54677782,C1=CC(=C(C2=C1C(=C3C=CC(=O)C(=C3O2)O)/C=C\C(=O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.6793,-14.5012,,-14.0373,,,-22.4187,,-14.3513,,,-17.2537,,-24.2918,,-22.6793,,,QC'd by NCI
1525,26750734,6518394,C[C@@H](C1=CN(N=N1)[C@@H](CC2=CC=CC=C2)CO)ON=C(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.4355,-9.6945,,-4.1389,,,-9.5121,,-5.0064,,,-5.5941,,-12.5158,,-23.4355,,,QC'd by BUCMLD
1526,4237741,3232854,C1C[C@@H](OC1)CN2C3=NC(=NC=C3N=C(C2=O)C4=CC=CC(=C4)C#N)NC5=CC=CC=C5,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.411,,,-8.3143,,,-1.3275,,-0.8005,,,-2.0011,,-3.3523,,-14.1859,,-14.411,QC'd by Pharmacopeia
1527,26752493,16758944,C[C@@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OC5C=CC(OC5CO)C6=CC=CC=C6,Inactive,0,,,Activator,3.1623,602.576,,Partial curve; high efficacy,-5.5,3.5117,0.9935,620.928,18.3526,2.1,0 0 0 0 0 0 0,613.378,1.6264,,4.9839,,,6.2065,,19.6962,,,55.4365,,166.154,,613.378,,,QC'd by BUCMLD
1528,11110959,1730,C1=CC(=CC=C1C(=O)O)[Hg]Cl,Active,85,,,Inhibitor,3.1623,100.222,,Complete curve; high efficacy,-5.5,4.5045,0.9685,-92.8179,7.4037,-1.1,0 0 0 0 0 0 0,-96.3321,,,,8.9356,,11.3211,,,-9.6671,,17.5712,,-10.5752,,-89.0137,,-96.3321,QC'd by SigmaAldrich
1529,11112271,6604224,CC[N@@+]1(CCC[C@H](C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.0031,-8.3651,-5.8982,-3.9705,,1.8182,5.0804,-7.2237,20.0249,,3.1145,0.2982,0.8048,0.4949,-2.8592,-0.8172,-15.0031,,QC'd by Prestwick
1530,17388978,1309,CN1CCC2=CC3=C(C=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OCO3,Active,86,,,Inhibitor,1.2589,73.3274,,Complete curve; high efficacy,-5.9,1.2221,0.9985,-83.8552,-10.5278,-1.1,0 0 0 0 0 0 0,-83.8479,,,-10.6036,,,-8.7664,,-14.9908,,,-26.9007,,-60.8264,,-78.2085,,-83.8479,QC'd by Microsource
1531,26748479,16757772,CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O.Cl.Cl,Active,40,,,Inhibitor,31.6228,79.8036,,Partial curve; partial efficacy,-4.5,1.9887,0.9969,-83.7166,-3.913,-2.2,0 0 0 0 0 0 0,-64.9511,,,-4.1341,,,-3.6938,,-4.2266,,,-2.1981,,-6.8407,,-12.8824,,-64.9511,QC'd by Microsource
1532,4238843,3233951,C1C[C@@]2(CCN(C2)C3=CC=CC=C3)CN(C1)S(=O)(=O)C4=CC=CC=C4,Active,84,,,Inhibitor,5.0119,90.5602,,Complete curve; high efficacy,-5.3,1.3987,0.9929,-90.8423,-0.282,-1.1,0 0 0 0 0 0 0,-87.3045,,,5.516,,,-1.0146,,-0.8051,,,-7.5045,,-23.4729,,-71.927,,-87.3045,QC'd by Pharmacopeia
1533,4239962,3235069,CC1=CN=C(C=N1)CNC2=NC(=NC=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Active,41,,,Inhibitor,15.8489,65.6805,,Partial curve; partial efficacy,-4.8,2.2526,0.9404,-70.7851,-5.1046,-2.2,0 0 0 0 0 0 0,-67.8683,,,3.1773,,,-15.9732,,-1.1539,,,-7.2778,,-5.4819,,-24.6505,,-67.8683,QC'd by Pharmacopeia
1534,26749747,5281650,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,Inconclusive,20,,,Inhibitor,39.8107,58.4125,,Single point of activity,-4.4,4.9549,0.9366,-69.1373,-10.7247,-3,0 0 0 0 0 0 0,-60.6466,,,-7.8728,,,-21.6996,,-8.0816,,,-10.4169,,-8.8185,,-8.8522,,-60.6466,QC'd by Microsource
1535,11114246,6604924,C1CCN(CC1)[C@H]2[C@H](C[C@@H]([C@H]2CC/C=C\CCC(=O)O)OCC3=CC=C(C=C3)C4=CC=CC=C4)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.4346,2.6737,-1.0527,1.4093,,2.3088,-2.9584,2.5594,0.5616,,-0.0166,2.7824,-1.5048,-0.4222,-1.11,-1.5372,-0.9262,-4.4346,QC'd by Tocris
1536,17384999,245881,C1=CC=C2C(=C1)C=C3C(C4=CC=CC=C4C3=N2)O,Inconclusive,20,,,Inhibitor,25.1189,65.4445,,Partial curve; partial efficacy,-4.6,1.8617,0.994,-70.0637,-4.6192,-2.2,1 0 0 0 0 0 0,-58.668,,,-25.7532,,,-5.6395,,-6.7872,,,-2.0476,,-4.1862,,-16.6936,,-58.668,QC'd by UPCMLD
1537,4237740,3232853,C1CC2(CCNCC2)CN(C1)C(=O)NC3=CC(=CC=C3)F,Active,41,,,Inhibitor,15.8489,58.0444,,Partial curve; partial efficacy,-4.8,1.7885,0.9906,-66.4985,-8.4542,-2.2,0 0 0 0 0 0 0,-62.4608,,,-6.0983,,,-7.3463,,-6.3659,,,-10.7629,,-12.6189,,-30.198,,-62.4608,QC'd by Pharmacopeia
1538,26750733,6518394,C[C@@H](C1=CN(N=N1)[C@@H](CC2=CC=CC=C2)CO)ON=C(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.8496,-7.6012,,-5.3532,,,-5.2056,,-6.4342,,,-11.9111,,-12.8433,,-28.8496,,,QC'd by BUCMLD
1539,4253662,3246424,C[C@H]1[C@@H]2C=C[C@H]1[C@H]([C@@H]2C3=C4C=CC(=O)C(=C4OC5=C3C=CC(=C5O)O)O)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.3662,-3.6445,,-6.1545,,,-7.547,,-5.2775,,,-2.1155,,-7.864,,-0.3662,,,QC'd by NCI
1540,4253262,5351877,C1CC1/C(=N/N=C(N)N)/C2=CC=C(C=C2)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.0567,-14.78,,-12.8912,,,-16.2515,,-11.9668,,,-6.0696,,-4.2712,,-13.0567,,,QC'd by NCI
1541,26752492,16758943,C1=CC=C(C=C1)C2C=CC(C(O2)CO)OC3=CC(=CC(=C3)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,5.1563,-1.3502,,-1.1857,,,-2.1047,,3.3238,,,17.7441,,17.6933,,5.1563,,,QC'd by BUCMLD
1542,11112272,1548995,CC[C@]1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,Inconclusive,21,,,Inhibitor,10,49.8029,,Partial curve; partial efficacy,-5,1.4641,0.947,-54.3788,-4.5759,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-44.8358,-3.281,-8.7411,-10.4482,,-4.8849,0.9234,-6.3255,-5.0924,,-5.2345,-8.4397,-6.6062,-7.8995,-18.8118,-30.7392,-44.8358,,QC'd by Prestwick
1543,11110958,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,Inconclusive,20,,,Inhibitor,0.0398,61.9702,,Complete curve; partial efficacy; poor fit,-7.4,0.5,0.8261,-31.6883,30.2819,-1.4,0 0 0 0 0 0 0,-33.2933,,,,21.7979,,2.4121,,,-18.3395,,-3.3979,,-28.7237,,-24.9416,,-33.2933,QC'd by SigmaAldrich
1544,17388979,1550884,CCCCCC/C(=C\C1=CC=CC=C1)/C=O,Inactive,0,,,Inactive,,,,,,,,,,4,,23.183,-36.7913,-21.9156,-23.2256,,-4.3578,-21.802,-20.6045,-21.5371,,-16.4979,-23.9761,-23.7743,-25.1834,-15.0821,-10.0547,5.2086,23.183,QC'd by NIEHS/NTP
1545,4238842,3233950,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=CN=CC=C3,Active,87,,,Inhibitor,1,79.1407,,Complete curve; high efficacy,-6,1.2221,0.9965,-87.4943,-8.3537,-1.1,0 0 0 0 0 0 0,-87.9653,,,-12.2557,,,-7.3247,,-10.3914,,,-30.4778,,-64.3907,,-84.6124,,-87.9653,QC'd by Pharmacopeia
1546,4239961,3235068,C1=CC=C(C=C1)NC2=NC=C3C(=N2)N(C(=O)C=N3)CC4=CC=CS4,Active,42,,,Inhibitor,15.8489,111.451,,Partial curve; high efficacy,-4.8,1.2475,0.9939,-117.754,-6.3027,-2.1,0 0 0 0 0 0 0,-102.213,,,-4.3157,,,-4.1649,,-6.2803,,,-6.1182,,-20.8031,,-51.3015,,-102.213,QC'd by Pharmacopeia
1547,26753726,3564,CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.1088,-4.9749,-9.7095,-5.8324,,-8.5558,-10.9724,-7.7113,-5.7483,,-6.7919,-6.4318,-9.7284,-13.0983,-13.3947,-18.4584,-17.5118,-27.1088,QC'd by Timtec
1548,26749746,5281650,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.9402,,,-4.2079,,,-6.1903,,-3.7786,,,-12.7792,,-12.7275,,-10.1814,,-27.9402,QC'd by Microsource
1549,26747475,5281787,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O,Inconclusive,20,,,Inhibitor,31.6228,42.4486,,Single point of activity,-4.5,2.4729,0.9932,-43.4486,-1,-3,0 0 0 0 0 0 0,-35.3738,,,-0.8174,,,-2.4057,,-1.4668,,,1.0144,,-1.6541,,-4.4679,,-35.3738,QC'd by Microsource
1550,11110957,1615336,C1CN(CCN1C/C=C\C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,,,Activator,7.9433,124.363,,Partial curve; high efficacy,-5.1,1.6259,0.9843,116.911,-7.452,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,100.814,-11.1931,-10.4241,-14.3688,,-5.6106,-8.3596,-10.0331,1.5189,,-8.6292,2.2877,-2.2577,8.2352,30.3978,73.677,100.814,,QC'd by Prestwick
1551,4237735,3232848,CC1=CC=CC=C1C2=CN=CN=C2NCCC3=CN=CN3,Active,89,,,Inhibitor,0.631,92.3498,,Complete curve; high efficacy,-6.2,1.331,0.9981,-104.047,-11.6973,-1.1,0 0 0 0 0 0 0,-104.795,,,-10.6525,,,-14.7535,,-19.9535,,,-44.945,,-90.1543,,-101.924,,-104.795,QC'd by Pharmacopeia
