PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
1982,4239709,3234816,COC1=CC(=C(C=C1)CNC2=NC(=NC=C2)C3=CC(=CC=C3)NS(=O)(=O)C)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1.34,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.2,-85.6,83.4,,,0 0 0 0 0 0 0,,,,2.8,,-1,,-0.6,,-8.6,,-11.1,,-33.7,,-74.6
1983,4240337,3235442,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)Cl)C5CC5,Active,4,,,decreasing,=,1.58e-05,-4.8,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.6,-89.6,84.9,,,0 0 0 0 0 0,,,,-3.4,,,,-2.9,,-7.4,,-19.9,,-36.7,,-74.6
1984,4238096,3233207,CN1C2=NC(=NC=C2N=C(C1=O)C3=CC=C(C=C3)F)OC4=CC=CC=C4,Active,45,,,decreasing,=,3.16e-07,-6.5,1.25,0.97,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",2.7,-72.1,74.8,,,0 0 0 0 0 0,,,,3.3,,,,-13.2,,-38.7,,-74.8,,-62.8,,-74.4
1985,4237961,3233074,CN(C)C(=O)C1=CC=C(C=C1)C2=NC=CC(=N2)NCC3=CC=CC=C3OC,Active,4,,,decreasing,=,1.26e-05,-4.9,1.22,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.1,-84.7,81.6,,,0 0 0 0 0 0 0,,,,-5.1,,-2.6,,-1,,-4.6,,-14.1,,-39.6,,-74.4
1986,4238285,3233396,COCC(=O)N1CCC2(CCCN(C2)C3=CC=C(C=C3)C4=CC=CC=C4)CC1,Active,4,,,decreasing,=,1.26e-05,-4.9,1.56,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.3,-80.6,77.2,,,0 0 0 0 0 0,,,,,,-0.8,,-3.3,,-5.7,,-9.4,,-37.5,,-74.4
1987,11113191,6604628,C[C@H]1[C@@H]2CCC(=C3[C@H]([C@H]2OC1=O)C(=CC3=O)C)C,Active,4,,,decreasing,=,1.26e-05,-4.9,1,0.96,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",6.5,-85.8,92.3,,,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,,6.8,7.2,2.4,3.4,13.4,12.3,-3.8,10,-29.7,-5.6,-4.2,-21.5,-39.5,-47.6,-74.4
1988,11113869,6604798,CCC(=O)N[C@H]1C[C@@H](C2=CC=CC=C2C1)C3=CC=CC=C3,Active,4,,,decreasing,=,1.58e-05,-4.8,0.9,0.88,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.5,-93.8,91.3,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-13.8,-6.9,-9.7,15.9,9.1,3.8,-10,-5.2,-18,-9.7,-18.6,-22.8,-36.4,-60.1,-74.4
1989,11112048,4519262,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)[O-])CC3=CC=C(C=C3)Cl.[Na+],Active,4,,,decreasing,=,2.51e-05,-4.6,1.37,0.97,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4.1,-95.4,99.5,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,8.2,-1,-0.2,0.7,1,5.3,13.6,3.3,4.2,3.5,2.8,-8.5,-22.1,-40.4,-74.3
1990,4237932,3233045,CC1=CN=C(C=N1)CNC2=NC=NC3=C2C=C(C=C3)C4=C(ON=C4C)C,Active,4,,,decreasing,=,1.26e-05,-4.9,1.42,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.3,-82.6,82.3,,,0 0 0 0 0 0 0,,,,-2.1,,-2.9,,3.7,,0,,-8.5,,-37.8,,-74.2
1991,4238170,3233281,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC(=CC(=C4)F)F)C5=CC=CC=C5,Active,35,,,decreasing,=,3.16e-06,-5.5,1.34,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",7.5,-74.4,81.9,,,0 0 0 0 0 0,,,,5.9,,,,5.6,,6.1,,-26.5,,-60.5,,-74.1
1992,4238379,3233490,C1CC2(CCN(CC2)C(=O)OC3=CC=CC=C3)CN(C1)C4=NC=CC=N4,Active,4,,,decreasing,=,1e-05,-5,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.5,-86.1,86.6,,,0 0 0 0 0 0,,,,,,-2.6,,-0.2,,1.3,,-17.9,,-43.7,,-74.1
1993,4237915,3233028,C1COCCN1CCNC2=NC(=NC=C2)C3=CC=CC=C3C(F)(F)F,Active,4,,,decreasing,=,2.51e-05,-4.6,1.42,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-6.3,-94.8,88.5,,,0 0 0 0 0 0 0,,,,-5,,-9,,-4.5,,-5.1,,-11.7,,-27.2,,-74
1994,4239494,3234601,CN1C2=NC(=NC=C2N=C(C1=O)CCC3=CC=CC=C3)OC4=CC=CC=C4,Active,4,,,decreasing,=,7.94e-06,-5.1,1.1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.8,-82.7,80.8,,,0 0 0 0 0 0,,,,-4,,,,-2.4,,-0.4,,-20.4,,-50.3,,-74
1995,4240021,3235128,COC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CS3)CC4=CC=CS4,Active,4,,,decreasing,=,5.01e-06,-5.3,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.5,-81.3,81.9,,,0 0 0 0 0 0,,,,0.6,,,,-0.9,,-9.3,,-25.3,,-54.9,,-74
1996,4240454,3235559,CS(=O)(=O)N1CCC2(CCCN(C2)C3=CC=CC(=C3)C4=CC=CC=C4)CC1,Active,4,,,decreasing,=,6.31e-06,-5.2,1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.1,-82.7,85.8,,,0 0 0 0 0 0,,,,,,5,,-0.7,,-3.2,,-19.1,,-52.5,,-74
1997,4266452,3247108,CN(C)C(=O)C1=CC2=C(N1CC3=NC4=CC=CC=C4N3)C[C@@H]5[C@H]2[C@](N(C5)C(=O)C6=CC=CC=C6)(CC7=CC=CC=C7)C(=O)OC,Active,4,,,decreasing,=,2e-05,-4.7,1.21,0.96,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.9,-88.8,87.9,,,0 0 0 0 0 0,,,,-0.9,,,,1.2,,3.5,,-17.4,,-27.1,,-74
1998,4238990,3234097,C1C[C@@]2(CCN(C2)C3=CC=CC(=C3)C4=CC=CC=C4)CN(C1)C(=O)C5=CSN=N5,Active,4,,,decreasing,=,1.58e-05,-4.8,1.11,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-11.4,-85.3,73.9,,,0 0 0 0 0 0,,,,,,-9.4,,-15.5,,-8.2,,-23.1,,-40.9,,-73.9
1999,11110736,1367,C1=CC=C2C(=C1)N=NN2N,Active,4,,,decreasing,=,1.26e-05,-4.9,1.29,0.98,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.5,-80.2,81.8,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,2.7,1.8,5.8,-2.1,-3.7,4.6,2.3,1.1,0.9,-5.8,-1.5,-20,-36.3,-51.7,-73.9
2000,11113946,5354033,C1=CC=C(C(=C1)N)S/C(=C(\C#N)/C(=C(/N)\SC2=CC=CC=C2N)/C#N)/N,Active,4,,,decreasing,=,3.16e-05,-4.5,1.13,0.92,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.4,-97.8,100.2,,,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,28.7,-3.4,3,3.1,5.8,6.4,-0.7,16.6,-0.1,-3.6,-3.1,-17.9,-18.3,-36.8,-73.9
2001,4240351,3235456,CN(CC1=CC=CO1)C2=NC=NC=C2C3=COC=C3,Active,4,,,decreasing,=,1.58e-05,-4.8,1.21,0.93,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2,-84.4,82.4,,,0 0 0 0 0 0 0,,,,10.7,,-4.6,,-8.5,,-5.2,,-15.1,,-29,,-73.8
2002,11111946,5354033,C1=CC=C(C(=C1)N)S/C(=C(\C#N)/C(=C(/N)\SC2=CC=CC=C2N)/C#N)/N,Active,4,,,decreasing,=,1.26e-05,-4.9,0.9,0.96,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4.6,-90.9,95.5,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,14,4.1,-6.1,2.4,10.2,2.1,11,-1.8,-6.5,-6.2,-7.6,-26.9,-41.1,-54.6,-73.8
2003,4238231,3233342,CC1=CN=C(C=N1)CNC2=NC=NC=C2C3=CC=CC=C3CN(C)C,Active,4,,,decreasing,=,1.26e-05,-4.9,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7,-88,81,,,0 0 0 0 0 0 0,,,,-3.3,,-9.7,,-9.1,,-9.5,,-19,,-44.7,,-73.7
2004,11114288,6604942,CCCC[P+](CCCC)(CCCC)CC1=CC=C(C=C1)NC(=O)[C@@H](CC2=CC3=CC=CC=C3C=C2)NC(=NC4CCCCC4)NC5CCCCC5.Cl.[Cl-],Active,4,,,decreasing,=,3.16e-05,-4.5,2.04,0.98,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.2,-95.8,97,,,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,,3.4,0.9,1.6,1.9,9.5,0.1,-2.5,-1.4,-42.7,2.2,-4.4,-5.1,-7.8,-37.1,-73.7
2005,11113324,2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Active,4,,,decreasing,=,1.26e-05,-4.9,1.11,0.94,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0.7,-80,80.6,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-9.5,-5.1,-5.1,3.7,9.6,4.6,2.3,3.8,3.4,-7,-10.1,-25.5,-34.5,-48.4,-73.6
2006,4238780,3233889,C1=CC=C(C(=C1)C2=CN=CN=C2NCCC3=CN=CN3)C(F)(F)F,Active,4,,,decreasing,=,6.31e-06,-5.2,0.6,0.95,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",7.5,-88.2,95.7,,,0 0 0 0 0 0 0,,,,17.1,,-5.4,,0.8,,-12.8,,-22.1,,-49.1,,-73.5
2007,4239123,3234230,CN1C=C(C2=CC=CC=C21)C3=NC4=CN=C(N=C4N(C3=O)C5=CC=CC=C5)N6CCNCC6,Active,4,,,decreasing,=,1.58e-05,-4.8,1.21,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-9,-84.7,75.7,,,0 0 0 0 0 0,,,,-4.2,,,,-9.9,,-11.5,,-19.2,,-36.6,,-73.5
2008,11111902,667645,COC1=CC(=CC(=C1O)O)C=C(C#N)C#N,Active,4,,,decreasing,=,1.26e-05,-4.9,1.34,0.97,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.7,-75.8,77.5,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,1.8,-7,0.4,1.9,9.2,7.1,3.2,-2.4,1.1,-2.2,-8.3,-15.4,-31.2,-51.9,-73.5
2009,4237985,3233098,C1CC2(CCN(CC2)C(=O)C3=CC=NC=C3)CN(C1)C4=CC=C(C=C4)C5=CC=CC=C5,Active,4,,,decreasing,=,2.51e-05,-4.6,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.8,-95.2,90.4,,,0 0 0 0 0 0,,,,,,-3.1,,-4.6,,-5.3,,-8.7,,-28.1,,-73.4
2010,4240371,3235476,COC1=CC=CC=C1CNC2=NC=NC=C2C3=CC=CC=C3C(F)(F)F,Active,4,,,decreasing,=,1.58e-05,-4.8,1.1,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5.6,-88,82.4,,,0 0 0 0 0 0 0,,,,-1.6,,-8.2,,-3.8,,-7.9,,-18.7,,-35.5,,-73.3
2011,4239127,3234234,C1=CC=C(C=C1)NC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CS4)CCC#N,Active,4,,,decreasing,=,5.01e-06,-5.3,0.8,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",8,-79.6,87.6,,,0 0 0 0 0 0,,,,9.7,,,,2.8,,-1.5,,-26.6,,-44.8,,-73.2
2012,4266795,5771846,CCC/C=C(\CCC)/C(C1=CC=C(C=C1)C(=O)OC)NC(=O)C2=CC=CS2,Active,4,,,decreasing,=,5.01e-06,-5.3,1,1,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3,-80,77.1,,,0 0 0 0 0 0,,,,,,-1.5,,-6.6,,-8.7,,-28.1,,-57.2,,-73.1
2013,11111016,6603798,CCCN1CCC2=C3[C@H]1CC4=C(C3=CC(=C2)O)C(=C(C=C4)O)O,Active,4,,,decreasing,=,1.26e-05,-4.9,1.25,0.96,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.9,-81.1,85,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,7,4.2,-5.1,1.4,6.3,9.3,5.6,9.4,-3,-6.8,1.3,-18.9,-36.9,-51.3,-73.1
2014,11113929,4302963,CC1=C(C2=C(N1CCN3CCOCC3)C=C(C=C2)I)C(=O)C4=CC=C(C=C4)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,0.7,0.94,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.1,-83.9,82.8,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,1.3,-3.1,-3.8,-2.5,2.5,-1.4,-0.7,-1.6,-12.5,-15.1,-20.4,-31.2,-30.1,-43.6,-73.1
2015,4239422,3234529,CN1C2=NC(=NC=C2N=C(C1=O)CCC3=CC=CC=C3)NC4=CC(=CC=C4)OC,Active,4,,,decreasing,=,5.01e-06,-5.3,1.13,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.6,-76.5,78.1,,,0 0 0 0 0 0,,,,-0.4,,,,0.9,,1.1,,-25.8,,-52.5,,-73
2016,4239698,3234805,COC1=CC(=C(C=C1)CNC2=NC(=NC=C2)C3=CC=CC=C3C(F)(F)F)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1.22,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5.8,-84,78.2,,,0 0 0 0 0 0 0,,,,-2.8,,-6.9,,-6.7,,-4.5,,-16.9,,-35.8,,-73
2017,4240222,3235328,COC1=CC=CC=C1CNC2=NC=NC=C2C3=CC(=CC=C3)NS(=O)(=O)C,Active,4,,,decreasing,=,1.58e-05,-4.8,1.1,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.3,-87.6,84.3,,,0 0 0 0 0 0 0,,,,-1.1,,-7.6,,-2.7,,0.3,,-17,,-35.6,,-73
2018,4240409,3235514,CC1=CN=C(C=N1)CNC2=NC(=NC=C2)C3=CC=CC=C3C(F)(F)F,Active,4,,,decreasing,=,1.58e-05,-4.8,0.9,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.8,-91.3,87.4,,,0 0 0 0 0 0 0,,,,-0.5,,-4.1,,-6.8,,-9,,-18.4,,-36.9,,-73
2019,11113589,157132,CC1=C([C@H](C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,Active,4,,,decreasing,=,1.26e-05,-4.9,0.5,0.84,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.9,-87.6,89.5,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,6.5,-12.1,-11.3,8.2,3.2,7.2,-4.3,-15.5,-9.1,-18.7,-27.5,-38,-33.5,-36.9,-73
2020,11113689,5289501,C/C(=C\C1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)C(CCC3(C)C)(C)C,Inconclusive,2,,,decreasing,=,3.16e-05,-4.5,3.13,0.75,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.1,-83.2,81.1,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-14.1,-14.9,-6.5,5.4,-11.4,12.1,16.9,-7.2,18.5,-11.2,-11.2,-2.3,-6.5,-28.2,-73
2021,4239121,3234228,CC1=NC2=CN=C(N=C2N(C1=O)CCOC)OCC3=CC=CC=C3,Active,4,,,decreasing,=,1e-05,-5,1.46,0.97,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.4,-77.2,72.7,,,0 0 0 0 0 0,,,,-12.4,,,,-1.3,,1.4,,-14.8,,-42.7,,-72.9
2022,4239167,3234274,CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC=NC=C4,Active,4,,,decreasing,=,7.94e-06,-5.1,0.6,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.9,-94.6,98.4,,,0 0 0 0 0 0 0,,,,8.4,,-3.5,,-4.5,,-11.3,,-25.6,,-50,,-72.9
2023,4240151,3235257,C1=CC=C(C=C1)CCC2=NC3=CN=CN=C3N(C2=O)C4=CC=CC=C4,Active,4,,,decreasing,=,1.58e-05,-4.8,1.56,0.96,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.7,-79.8,76,,,0 0 0 0 0 0,,,,-10.3,,,,-1.1,,4.5,,-12.6,,-31,,-72.9
2024,11111918,667601,C1=CC(=C(C=C1/C=C(\C#N)/C(=S)N)O)O,Active,4,,,decreasing,=,1.26e-05,-4.9,1.22,0.99,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.4,-80.9,77.5,,,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,,-2.2,-0.1,-6.8,-2,-5.4,-3.4,-1,-7.4,-31.1,-10.2,-9.5,-23.8,-39,-55.5,-72.9
2025,4239680,3234787,CN(C)CC1=CC=CC=C1C2=CN=CN=C2NCCC3=CNC4=C3C=C(C=C4)OC,Active,4,,,decreasing,=,2e-05,-4.7,1.46,0.96,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.6,-83.6,81,,,0 0 0 0 0 0 0,,,,0.4,,2.9,,0.8,,-5.4,,-15.7,,-25.6,,-72.8
2026,11111511,4401,CN1C=NC2=C(N=CN=C21)NC3CCCC3,Active,4,,,decreasing,=,1.26e-05,-4.9,1.25,0.97,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.8,-79.1,78.3,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-3.1,-4.5,-1.8,-1,4.3,5.1,4.3,-8.1,-1.4,-7.8,-9.9,-20.4,-32.9,-54.2,-72.8
2027,4237514,3232627,C1=CC=C(C=C1)N2C3=NC=NC=C3N=C(C2=O)C4=CC=CS4,Active,4,,,decreasing,=,1.26e-05,-4.9,0.9,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.7,-90.7,86,,,0 0 0 0 0 0,,,,-3.5,,,,-5.5,,-10.6,,-19.8,,-46.7,,-72.7
2028,4238084,3233195,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC=C(C=C3)F)OCC4=CC=CC=C4,Active,4,,,decreasing,=,7.94e-06,-5.1,1.1,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.6,-80.3,78.7,,,0 0 0 0 0 0,,,,-3.9,,,,-3.1,,-1.7,,-18.9,,-47.7,,-72.7
2029,4240105,3235211,CN1C=CC=C1C(=O)N2CCC[C@]3(C2)CCN(C3)C4=CC=NC=C4,Active,4,,,decreasing,=,1.26e-05,-4.9,1.64,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-9,-77.5,68.5,,,0 0 0 0 0 0,,,,,,-8,,-8.6,,-9.9,,-12.3,,-41.9,,-72.7
2030,11113848,133633,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43,Active,4,,,decreasing,=,3.16e-05,-4.5,0.8,0.87,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.7,-95.4,94.7,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,9.1,-1.5,-1.6,-3.3,0.1,0.4,-8.6,7.5,-1.9,-18.1,-18.5,-21.8,-23.4,-33.7,-72.7
2031,4240023,3235130,C1=CC=C(C=C1)COC2=NC=C3C(=N2)N(C(=O)C=N3)CC4=CC=C(C=C4)F,Active,4,,,decreasing,=,1.26e-05,-4.9,1.25,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2.6,-81.8,84.4,,,0 0 0 0 0 0,,,,-1.5,,,,4.4,,5,,-10.4,,-32.6,,-72.6
2032,4240144,3235250,CC1=NC2=CN=C(N=C2N(C1=O)C3=CC=C(C=C3)OC)OC4=CC=C(C=C4)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1.21,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7.8,-83.7,76,,,0 0 0 0 0 0,,,,-5,,,,-5.2,,-10.9,,-19.1,,-34.9,,-72.6
2033,11111823,1548887,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,Active,4,,,decreasing,=,1.26e-05,-4.9,0.8,0.96,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.2,-94.1,97.4,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,8.3,2.8,-2.3,12.6,-3.3,4.1,1,-7.7,-3.5,-8.6,-10.3,-30.9,-48.7,-54.9,-72.6
2034,11113321,6604693,CN1CCC2=C3[C@@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl,Active,4,,,decreasing,=,1.58e-05,-4.8,1.11,0.88,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",5.7,-77.3,83,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,3.9,-1.8,23.6,-1.9,3.8,11.9,15.7,1.4,-5.3,1.1,-11.2,-13.2,-22.8,-41.9,-72.5
